movie,studio,foreign_gross,year,id_x,release_date_x,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,popularity,release_date_y,title,vote_average,vote_count,parsed_genres
Predators,Fox,75200000.0,2010,35,2010-07-09,40000000,52000688,127234389,28,"[28, 878, 12, 53]",34851,en,16.215999999999998,2010-07-03,Predators,6.1,1979,"[28, 878, 12, 53]"
Dear John,SGem,35000000.0,2010,77,2010-02-05,25000000,80014842,142033509,82,"[18, 10749, 10752]",22971,en,12.048,2010-02-04,Dear John,6.8,2676,"[18, 10749, 10752]"
Cats & Dogs: The Revenge of Kitty Galore,WB,68900000.0,2010,17,2010-07-30,85000000,43585753,113026383,115,"[35, 10751, 28, 14]",39691,en,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273,"[35, 10751, 28, 14]"
Tooth Fairy,Fox,52400000.0,2010,23,2010-01-22,48000000,60022256,112610386,68,"[35, 10751, 14]",23023,en,12.65,2010-01-22,Tooth Fairy,5.3,1058,"[35, 10751, 14]"
Hereafter,WB,72500000.0,2010,61,2010-10-15,50000000,32746941,108660270,246,"[18, 14]",44603,en,7.886,2010-10-22,Hereafter,5.9,848,"[18, 14]"
The Girl with the Dragon Tattoo,MBox,94300000.0,2010,51,2011-12-20,90000000,102515793,239373970,2486,"[53, 80, 9648, 18]",65754,en,17.823,2011-12-14,The Girl with the Dragon Tattoo,7.3,3971,"[53, 80, 9648, 18]"
Killers,LGF,51100000.0,2010,54,2010-06-04,75000000,47059963,95572749,123,"[28, 35, 53, 10749]",37821,en,10.221,2010-06-04,Killers,5.8,1314,"[28, 35, 53, 10749]"
Kick-Ass,LGF,48100000.0,2010,54,2010-04-16,28000000,48071303,97531134,61,"[28, 80]",23483,en,13.08,2010-04-16,Kick-Ass,7.1,7540,"[28, 80]"
Green Zone,Uni.,59800000.0,2010,98,2010-03-12,100000000,35497337,97523020,90,"[10752, 28, 12, 18, 53]",22972,en,11.519,2010-03-11,Green Zone,6.4,1176,"[10752, 28, 12, 18, 53]"
Get Him to the Greek,Uni.,30300000.0,2010,22,2010-06-04,40000000,61153526,91455875,206,[35],32823,en,8.485,2010-06-04,Get Him to the Greek,5.9,980,[35]
Burlesque,SGem,50100000.0,2010,24,2010-11-24,55000000,39440655,90552675,196,"[18, 10749]",42297,en,8.676,2010-11-23,Burlesque,7.1,1195,"[18, 10749]"
The Last Song,BV,26100000.0,2010,15,2010-03-31,20000000,62950384,92678948,170,"[18, 10751, 10749]",35690,en,9.237,2010-03-31,The Last Song,7.2,2199,"[18, 10751, 10749]"
Dinner for Schmucks,P/DW,13800000.0,2010,51,2010-07-30,69000000,73026337,86796502,333,[35],38778,en,6.632000000000001,2010-07-30,Dinner for Schmucks,5.6,920,[35]
Marmaduke,Fox,50100000.0,2010,59,2010-06-04,50000000,33644788,89895930,205,"[10751, 35]",38579,en,8.487,2010-06-04,Marmaduke,5.1,367,"[10751, 35]"
Piranha 3D,W/Dim.,58200000.0,2010,52,2010-08-20,24000000,25003155,83660160,95,"[35, 27]",43593,en,11.302,2010-08-20,Piranha 3D,5.3,1029,"[35, 27]"
Oceans,BV,63200000.0,2010,2,2010-04-22,80000000,19422319,86787530,279,"[99, 10751]",36970,en,7.532,2010-04-21,Oceans,7.2,167,"[99, 10751]"
Edge of Darkness,WB,37800000.0,2010,8,2010-01-29,60000000,43313890,82812456,97,"[80, 18, 9648, 53]",12201,en,11.252,2010-01-29,Edge of Darkness,6.3,794,"[80, 18, 9648, 53]"
Edge of Darkness,WB,37800000.0,2010,8,2010-01-29,60000000,43313890,82812456,16802,[99],468788,en,0.6,2015-11-01,Edge of Darkness,7.0,1,[99]
Vampires Suck,Fox,43900000.0,2010,49,2010-08-18,20000000,36661504,81424988,179,"[35, 27]",40264,en,8.992,2010-08-18,Vampires Suck,4.1,658,"[35, 27]"
Letters to Juliet,Sum.,26100000.0,2010,89,2010-05-14,30000000,53032453,82148538,162,"[35, 18, 10749]",37056,en,9.394,2010-05-14,Letters to Juliet,6.9,1706,"[35, 18, 10749]"
Diary of a Wimpy Kid,Fox,11700000.0,2010,13,2010-03-19,15000000,64003625,76954311,77,"[35, 10751]",33217,en,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,"[35, 10751]"
Easy A,SGem,16600000.0,2010,67,2010-09-17,8000000,58401464,76200721,39,[35],37735,en,14.69,2010-09-17,Easy A,6.8,4168,[35]
Takers,SGem,11300000.0,2010,95,2010-08-27,32000000,57744720,70587268,181,"[28, 80, 18, 53]",22907,en,8.969,2010-08-26,Takers,6.2,605,"[28, 80, 18, 53]"
The American,Focus,32299999.0,2010,51,2010-09-01,20000000,35606376,67950723,177,"[80, 18, 53]",27579,en,9.042,2010-09-01,The American,5.8,690,"[80, 18, 53]"
The Last Exorcism,LGF,26700000.0,2010,15,2010-08-27,1800000,41034350,70165900,165,"[27, 18, 53]",38358,en,9.35,2010-08-27,The Last Exorcism,5.6,519,"[27, 18, 53]"
The Next Three Days,LGF,46300000.0,2010,49,2010-11-19,30000000,21148651,67255916,100,"[10749, 18, 53, 80]",43539,en,11.147,2010-11-19,The Next Three Days,7.0,1469,"[10749, 18, 53, 80]"
Skyline,Uni.,45400000.0,2010,99,2010-11-12,10000000,21416355,68264973,184,"[878, 28]",42684,en,8.847000000000001,2010-11-12,Skyline,4.8,833,"[878, 28]"
Hot Tub Time Machine,MGM,14300000.0,2010,10,2010-03-26,36000000,50269859,65967750,130,"[878, 35, 12]",23048,en,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383,"[878, 35, 12]"
Devil,Uni.,29100000.0,2010,71,2010-09-17,10000000,33679655,63354114,125,"[27, 9648, 53]",44040,en,10.203,2010-09-17,Devil,5.9,1516,"[27, 9648, 53]"
127 Hours,FoxS,42400000.0,2010,6,2010-11-05,18000000,18335230,60217171,93,"[12, 18, 53]",44115,en,11.435,2010-11-05,127 Hours,7.0,4469,"[12, 18, 53]"
Secretariat,BV,537000.0,2010,53,2010-10-08,35000000,59699513,60376247,176,[18],39486,en,9.059,2010-10-08,Secretariat,7.0,200,[18]
